Error: too many values to unpack (expected 3)
Error: too many values to unpack (expected 3)
Can not load response cookies: Illegal key 'session820/qualitor820'
Can not load response cookies: Illegal key 'session820/qualitor820'
Can not load response cookies: Illegal key 'session820/qualitor820'
Error: too many values to unpack (expected 3)
Name: 广东珠江, URL: http://183.11.239.36:808/hls/83/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 489 ms
Name: CCTV-2, URL: http://118.78.220.187:8686/rtp/226.0.2.19:8064$山西联通组播源|1920x1080, Date: 2024-10-29, Resolution: 1920x1080, Response Time: 240 ms
Name: CCTV-2, URL: http://183.185.175.133:8085/rtp/226.0.2.19:8064$山西联通组播源|1920x1080, Date: 2024-10-06, Resolution: 1920x1080, Response Time: 68 ms
Name: CCTV-2, URL: http://171.118.136.143:8083/rtp/226.0.2.19:8064$山西联通组播源|1920x1080, Date: 2024-10-27, Resolution: 1920x1080, Response Time: 225 ms
Name: CCTV-2, URL: http://171.117.183.38:8084/rtp/226.0.2.19:8064$山西联通组播源|1920x1080, Date: 2024-10-11, Resolution: 1920x1080, Response Time: 164 ms
Name: CCTV-2, URL: http://60.223.72.17:8005/rtp/226.0.2.19:8064$山西联通组播源|1920x1080, Date: 2024-09-20, Resolution: 1920x1080, Response Time: 218 ms
Name: CCTV-2, URL: http://171.117.143.120:8082/rtp/226.0.2.19:8064$山西联通组播源|1920x1080, Date: 2024-10-26, Resolution: 1920x1080, Response Time: 226 ms
Name: CCTV-2, URL: http://120.55.49.231:3095/rtp/233.50.201.119:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3252 ms
Name: CCTV-2, URL: http://120.55.49.231:3095/rtp/233.50.201.2:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3252 ms
Name: CCTV-2, URL: http://115.58.217.95:4000/rtp/225.1.4.74:1103$河南联通组播源|1920x1080, Date: 2024-10-24, Resolution: 1920x1080, Response Time: 187 ms
Name: CCTV-2, URL: http://115.58.217.95:4000/rtp/225.1.4.2:1031$河南联通组播源|1920x1080, Date: 2024-10-24, Resolution: 1920x1080, Response Time: 187 ms
Name: CCTV-2, URL: http://122.9.151.210:887/rtp/238.255.2.11:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3219 ms
Name: CCTV-2, URL: http://60.168.224.91:2000/rtp/238.1.78.235:7752$安徽电信组播源|1920x1080, Date: 2024-10-28, Resolution: 1920x1080, Response Time: 224 ms
Name: CCTV-2, URL: http://123.56.129.203:4310/rtp/225.1.8.2:8084$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3291 ms
Name: CCTV-2, URL: http://123.56.129.203:4310/rtp/225.1.8.102:8004$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3291 ms
Name: CCTV-2, URL: http://221.219.100.121:2323/rtp/239.3.1.60:8084$北京联通组播源|1920x1080, Date: 2024-10-30, Resolution: 1920x1080, Response Time: 250 ms
Name: CCTV-2, URL: http://e1.woc.iiiya.cn:8888/rtp/239.61.2.174:9032$组播源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 146 ms
Name: CCTV-2, URL: http://[2409:8087:1a01:df::4059]/TVOD/88888888/224/3221226079/main.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1419 ms
Name: CCTV-2, URL: http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, Date: None, Resolution: None, Response Time: 520 ms
Name: CCTV-2, URL: http://119.166.159.120:6666/udp/239.253.254.232:8000$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 171 ms
Name: CCTV-2, URL: http://tvbox6.icu/tv/migu.php?id=cctv2$订阅源, Date: None, Resolution: None, Response Time: 1277 ms
Name: CCTV-2, URL: http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Resolution: None, Response Time: 540 ms
Name: CCTV-2, URL: http://123.166.61.70:8003/hls/12/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 567 ms
Name: CCTV-2, URL: http://fangke.blueswords.com:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Resolution: None, Response Time: 760 ms
Name: CCTV-2, URL: http://58.216.229.130:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Resolution: None, Response Time: 601 ms
Name: CCTV-2, URL: http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226540/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3453 ms
Name: CCTV-2, URL: http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002135/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3029 ms
